Question,Answer,Keyword
What should I do if I accidentally consume a food I’m allergic to?,"If you accidentally consume an allergen, stop eating immediately and assess your symptoms. If severe, use an epinephrine injector if prescribed and seek medical help.",allergen_0ae56cf03f4cee8891bac9385d548421
What should I do if I accidentally consume a food I’m allergic to,"If you accidentally consume an allergen, stop eating immediately and assess your symptoms. If severe, use an epinephrine injector if prescribed and seek medical help.",allergen_37539b0021b1072f730b2785710434b0
Can you tell me what should i do if i accidentally consume a food i’m allergic to?,"If you accidentally consume an allergen, stop eating immediately and assess your symptoms. If severe, use an epinephrine injector if prescribed and seek medical help.",allergen_900b695569f5790470ba9e50216d97a4
I want to know what should i do if i accidentally consume a food i’m allergic to?,"If you accidentally consume an allergen, stop eating immediately and assess your symptoms. If severe, use an epinephrine injector if prescribed and seek medical help.",allergen_65cbfb40052c0e8971a7c9154603782b
What should I do if I accidentally consume a food I’m allergic to? Please.,"If you accidentally consume an allergen, stop eating immediately and assess your symptoms. If severe, use an epinephrine injector if prescribed and seek medical help.",allergen_cfec8c17b4222c2b6a8b345bf30aa78c
What should I do if I accidentally consume a food I’m allergic to? Thanks!,"If you accidentally consume an allergen, stop eating immediately and assess your symptoms. If severe, use an epinephrine injector if prescribed and seek medical help.",allergen_e8f6b79ad9302fc08fe1142f5f4e81d8
What about what should i do if i accidentally consume a food i’m allergic to??,"If you accidentally consume an allergen, stop eating immediately and assess your symptoms. If severe, use an epinephrine injector if prescribed and seek medical help.",allergen_5474cecef6df3164129eef224c9c1f0b
Can you suggest some dairy-free dessert options?,"Dairy-free dessert options include coconut milk ice cream, almond milk puddings, fruit sorbets, and vegan cakes.",allergen_45a0d9108fefd845841bb2dba86228f2
Can you suggest some dairy-free dessert options,"Dairy-free dessert options include coconut milk ice cream, almond milk puddings, fruit sorbets, and vegan cakes.",allergen_2a6281fe4ab84934a7ccbf52fc5ee9a2
Can you tell me can you suggest some dairy-free dessert options?,"Dairy-free dessert options include coconut milk ice cream, almond milk puddings, fruit sorbets, and vegan cakes.",allergen_22e53476ff24f562001d700c55064cbf
I want to know can you suggest some dairy-free dessert options?,"Dairy-free dessert options include coconut milk ice cream, almond milk puddings, fruit sorbets, and vegan cakes.",allergen_8d1a0c75ba4997dd59deca763a328bcb
Can you suggest some dairy-free dessert options? Please.,"Dairy-free dessert options include coconut milk ice cream, almond milk puddings, fruit sorbets, and vegan cakes.",allergen_646381c6094c0b8c2ec710ffe038feba
Can you suggest some dairy-free dessert options? Thanks!,"Dairy-free dessert options include coconut milk ice cream, almond milk puddings, fruit sorbets, and vegan cakes.",allergen_d52965cc6d66b8f432735986249a2572
What about can you suggest some dairy-free dessert options??,"Dairy-free dessert options include coconut milk ice cream, almond milk puddings, fruit sorbets, and vegan cakes.",allergen_f084c6f7ba2198a101ce63abf34788be
Are there any traditional Indian snacks that are nut-free?,"Yes, some traditional Indian snacks that are nut-free include Murukku, Banana Chips, and Khakhra. However, always check for cross-contamination.",allergen_49bf9b286893fc2cd874fbe0fa83d60c
Are there any traditional Indian snacks that are nut-free,"Yes, some traditional Indian snacks that are nut-free include Murukku, Banana Chips, and Khakhra. However, always check for cross-contamination.",allergen_ff192b1ae90f38b2f6d49e858151d3a3
Can you tell me are there any traditional indian snacks that are nut-free?,"Yes, some traditional Indian snacks that are nut-free include Murukku, Banana Chips, and Khakhra. However, always check for cross-contamination.",allergen_0428e7cedab14253d45c14a97b53fc72
I want to know are there any traditional indian snacks that are nut-free?,"Yes, some traditional Indian snacks that are nut-free include Murukku, Banana Chips, and Khakhra. However, always check for cross-contamination.",allergen_d377533f85c956f81b6807cdbced6db6
Are there any traditional Indian snacks that are nut-free? Please.,"Yes, some traditional Indian snacks that are nut-free include Murukku, Banana Chips, and Khakhra. However, always check for cross-contamination.",allergen_3f962c625851586ed5cc88b40f9e5f71
Are there any traditional Indian snacks that are nut-free? Thanks!,"Yes, some traditional Indian snacks that are nut-free include Murukku, Banana Chips, and Khakhra. However, always check for cross-contamination.",allergen_81dbb9eddd40f2c599a43c6d68eb5baa
What about are there any traditional indian snacks that are nut-free??,"Yes, some traditional Indian snacks that are nut-free include Murukku, Banana Chips, and Khakhra. However, always check for cross-contamination.",allergen_8ffad6b0df215b5ef8531c1a508648a5
