Questions Asked by User,Response Given to User
Suggest me a spicy dish.,"If you love spicy food, try Kolhapuri Chicken, Andhra Chilli Chicken, or Spicy Paneer Tikka! Each one is packed with bold flavors."
Recommend me a vegetarian dish.,"A delicious vegetarian meal could be Paneer Butter Masala with Tandoori Roti, Rajma Chawal, or the smoky Baingan Bharta."
What are some North Indian dishes?,"Classic North Indian dishes include the creamy Dal Makhani, rich Butter Chicken, fluffy Chole Bhature, and crisp Tandoori Roti."
Can you suggest a South Indian breakfast?,"Start your morning with a South Indian favorite: soft Idlis with coconut chutney, crispy Masala Dosa, Pongal, or a bowl of warm Upma."
I am looking for a light meal. What do you recommend?,"For a light yet satisfying meal, go for Moong Dal Khichdi, Poha with peanuts, or a warm bowl of Tomato Soup."
What are some dairy-free food options?,"If you're avoiding dairy, you can enjoy Baingan Bharta, Tandoori Roti, fragrant Vegan Biryani, or the protein-rich Chana Masala."
What can I eat if I have a gluten allergy?,"For a gluten-free meal, you can try Besan Chilla, comforting Rajma Chawal, or a crispy Masala Dosa."
Recommend me a high-protein meal.,"Need protein? Go for grilled chicken with sautéed veggies, Dal Tadka with brown rice, or a refreshing Sprouts Salad."
Which dishes are popular in West India?,"West India is known for its bold flavors! Enjoy Pav Bhaji from Mumbai, crunchy Dhokla from Gujarat, spicy Vada Pav, or the tangy Goan Fish Curry."
Can you suggest a healthy meal?,"Stay healthy with Palak Soup, a protein-packed Sprouts Chaat, or fiber-rich Oats Upma."
I want a non-veg dish.,"You can try aromatic Chicken Biryani, flavorful Rogan Josh, or a coastal special like Fish Curry."
Show me famous East Indian dishes.,"East India’s cuisine offers Litti Chokha from Bihar, Pakhala Bhata from Odisha, and the sweet delight of Mishti Doi from Bengal."
What are some kid-friendly dishes?,"Kids love the cheesy goodness of Paneer Paratha, mildly spiced Vegetable Pulao, and crispy Cheese Dosa."
What can I eat for breakfast?,"For a great start to the day, try Poha with a squeeze of lemon, flaky Paratha with curd, or nutritious Rava Upma."
Suggest a quick snack.,"A fast and tasty snack? Try Bhel Puri for something crunchy, Dhokla for something soft, or Aloo Chaat for a tangy treat."
What should I eat for dinner?,"For a satisfying dinner, try comforting Dal Tadka with Roti, well-seasoned Grilled Fish, or deliciously stuffed Capsicum."
Suggest a meal with low calories.,"Watching your calories? Opt for a bowl of Palak Soup, light Vegetable Stir Fry, or nutritious Methi Thepla."
What is a famous dish from South India?,"South Indian favorites include crispy Masala Dosa, tangy Sambar Rice, and fluffy Appam with coconut-based Stew."
I want a sweet dish.,"Satisfy your sweet tooth with Gulab Jamun, soft Rasgulla, or the rich flavors of Moong Dal Halwa!"
Which dish should I try from Maharashtra?,"Maharashtra’s specialties include the spicy Misal Pav, sweet Puran Poli, and fasting favorite Sabudana Khichdi."
