"Question","Answer"
"What is the Taste of India loyalty program?","The Taste of India Loyalty Program includes: 
1. Earn 1 point for every ₹10 spent on purchases.
2. Redeem points for discounts on future purchases.
3. Exclusive perks like birthday rewards, anniversary discounts, and early access to new menu items.
4. Earn 50 points for each successful referral."
"How do I earn loyalty points?","You earn 1 point for every ₹10 spent. You also earn 50 points for each successful referral. Exclusive perks include birthday rewards, anniversary discounts, and early access to new menu items."
"How can I redeem my loyalty points?","You can redeem your loyalty points for discounts on future purchases."
"How do I check my loyalty points balance?","You can check your loyalty points balance by logging into your account and visiting the 'My Rewards' or 'Loyalty Points' section on the dashboard."
"Are there membership tiers in the loyalty program?","No, the Taste of India Loyalty Program does not currently have membership tiers. All users enjoy the same benefits and earn points at the same rate."
"Do my loyalty points expire?","No, your loyalty points do not expire and can be used anytime for discounts on future purchases."
"How does the referral program work?","You earn 50 loyalty points for each successful referral. To participate, share your referral code or link with friends and family. When a referred person signs up using your referral and completes their first purchase, you automatically receive 50 points in your loyalty account. These points can be redeemed for discounts on future purchases."
"Do I get anything on my birthday?","Yes, as part of the Taste of India Loyalty Program, you receive special birthday rewards such as bonus loyalty points or exclusive discounts."
"Can I use loyalty points with other discounts?","No, loyalty points from the Taste of India Loyalty Program cannot be combined with other discounts or promotional offers."
"Is there a minimum order value to earn points?","No, there is no minimum order value. You earn 1 point for every ₹10 spent, regardless of the order amount."
"What is the value of loyalty points?","For every ₹10 spent, you earn 1 loyalty point. These points can be redeemed for discounts on future purchases, where each point holds a value equivalent to ₹1."
"Can I transfer my loyalty points to someone else?","No, loyalty points from the Taste of India Loyalty Program are non-transferable and can only be used by the account holder who earned them."
"Do I earn points for dine-in orders?","No, the Taste of India operates exclusively online, so loyalty points are earned only on online orders."
"What happens to my points if I cancel an order?","If you cancel an order, the loyalty points earned from that order will be deducted from your account."
"How do I upgrade my membership tier?","The Taste of India Loyalty Program does not have membership tiers, so there is no upgrade process."
"Can I redeem points for delivery charges?","No, loyalty points from the Taste of India Loyalty Program cannot be redeemed for delivery charges. They can only be used for discounts on food purchases."
"Are there exclusive deals for loyalty members?","Yes, members of the Taste of India Loyalty Program enjoy exclusive deals such as birthday rewards, anniversary discounts, and early access to new menu items."
"What are the benefits of premium membership?","The Taste of India Loyalty Program does not offer a premium membership. All users receive the same benefits under the standard loyalty program."
"How do I enroll in the loyalty program?","You are automatically enrolled in the Taste of India Loyalty Program when you create an account and make your first purchase."
"Do corporate orders earn loyalty points?","Yes, corporate orders placed through the Taste of India platform also earn loyalty points at the same rate—1 point for every ₹10 spent."
"How do I track my loyalty points history?","You can track your loyalty points history by logging into your Taste of India account and visiting the 'Loyalty Points' or 'My Rewards' section, where all earned and redeemed points are listed."
"How long does it take for points to appear in my account?","Loyalty points from the Taste of India Loyalty Program are typically credited to your account immediately after a successful purchase is completed."
"What are the loyalty program milestones?","The Taste of India Loyalty Program does not currently include specific milestones. All users earn points consistently at the rate of 1 point per ₹10 spent and enjoy the same set of rewards and perks."
"Do I get bonus points on special holidays?","No, the Taste of India Loyalty Program does not currently offer bonus points on special holidays."
"Can I redeem points for beverages or desserts?","Yes, loyalty points from the Taste of India Loyalty Program can be redeemed for any menu items, including beverages and desserts."
